Geography
Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Estimate!!Total!!Total population!!PERCENT ALLOCATED!!Sex
Margin of Error!!Total!!Total population!!PERCENT ALLOCATED!!Sex
Estimate!!Total!!Total population!!PERCENT ALLOCATED!!Age
Margin of Error!!Total!!Total population!!PERCENT ALLOCATED!!Age
Estimate!!Percent!!Total population
Margin of Error!!Percent!!Total population
Estimate!!Percent!!Total population!!AGE!!Under 5 years
Margin of Error!!Percent!!Total population!!AGE!!Under 5 years
Estimate!!Percent!!Total population!!AGE!!5 to 9 years
Margin of Error!!Percent!!Total population!!AGE!!5 to 9 years
Estimate!!Percent!!Total population!!AGE!!10 to 14 years
Margin of Error!!Percent!!Total population!!AGE!!10 to 14 years
Estimate!!Percent!!Total population!!AGE!!15 to 19 years
Margin of Error!!Percent!!Total population!!AGE!!15 to 19 years
Estimate!!Percent!!Total population!!AGE!!20 to 24 years
Margin of Error!!Percent!!Total population!!AGE!!20 to 24 years
Estimate!!Percent!!Total population!!AGE!!25 to 29 years
Margin of Error!!Percent!!Total population!!AGE!!25 to 29 years
Estimate!!Percent!!Total population!!AGE!!30 to 34 years
Margin of Error!!Percent!!Total population!!AGE!!30 to 34 years
Estimate!!Percent!!Total population!!AGE!!35 to 39 years
Margin of Error!!Percent!!Total population!!AGE!!35 to 39 years
Estimate!!Percent!!Total population!!AGE!!40 to 44 years
Margin of Error!!Percent!!Total population!!AGE!!40 to 44 years
Estimate!!Percent!!Total population!!AGE!!45 to 49 years
Margin of Error!!Percent!!Total population!!AGE!!45 to 49 years
Estimate!!Percent!!Total population!!AGE!!50 to 54 years
Margin of Error!!Percent!!Total population!!AGE!!50 to 54 years
Estimate!!Percent!!Total population!!AGE!!55 to 59 years
Margin of Error!!Percent!!Total population!!AGE!!55 to 59 years
Estimate!!Percent!!Total population!!AGE!!60 to 64 years
Margin of Error!!Percent!!Total population!!AGE!!60 to 64 years
Estimate!!Percent!!Total population!!AGE!!65 to 69 years
Margin of Error!!Percent!!Total population!!AGE!!65 to 69 years
Estimate!!Percent!!Total population!!AGE!!70 to 74 years
Margin of Error!!Percent!!Total population!!AGE!!70 to 74 years
Estimate!!Percent!!Total population!!AGE!!75 to 79 years
Margin of Error!!Percent!!Total population!!AGE!!75 to 79 years
Estimate!!Percent!!Total population!!AGE!!80 to 84 years
Margin of Error!!Percent!!Total population!!AGE!!80 to 84 years
Estimate!!Percent!!Total population!!AGE!!85 years and over
Margin of Error!!Percent!!Total population!!AGE!!85 years and over
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Margin of Error!!Percent!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Median age (years)
Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Median age (years)
Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Margin of Error!!Percent!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Estimate!!Percent!!Total population!!PERCENT ALLOCATED!!Sex
Margin of Error!!Percent!!Total population!!PERCENT ALLOCATED!!Sex
Estimate!!Percent!!Total population!!PERCENT ALLOCATED!!Age
Margin of Error!!Percent!!Total population!!PERCENT ALLOCATED!!Age
Estimate!!Male!!Total population
Margin of Error!!Male!!Total population
Estimate!!Male!!Total population!!AGE!!Under 5 years
Margin of Error!!Male!!Total population!!AGE!!Under 5 years
Estimate!!Male!!Total population!!AGE!!5 to 9 years
Margin of Error!!Male!!Total population!!AGE!!5 to 9 years
Estimate!!Male!!Total population!!AGE!!10 to 14 years
Margin of Error!!Male!!Total population!!AGE!!10 to 14 years
Estimate!!Male!!Total population!!AGE!!15 to 19 years
Margin of Error!!Male!!Total population!!AGE!!15 to 19 years
Estimate!!Male!!Total population!!AGE!!20 to 24 years
Margin of Error!!Male!!Total population!!AGE!!20 to 24 years
Estimate!!Male!!Total population!!AGE!!25 to 29 years
Margin of Error!!Male!!Total population!!AGE!!25 to 29 years
Estimate!!Male!!Total population!!AGE!!30 to 34 years
Margin of Error!!Male!!Total population!!AGE!!30 to 34 years
Estimate!!Male!!Total population!!AGE!!35 to 39 years
Margin of Error!!Male!!Total population!!AGE!!35 to 39 years
Estimate!!Male!!Total population!!AGE!!40 to 44 years
Margin of Error!!Male!!Total population!!AGE!!40 to 44 years
Estimate!!Male!!Total population!!AGE!!45 to 49 years
Margin of Error!!Male!!Total population!!AGE!!45 to 49 years
Estimate!!Male!!Total population!!AGE!!50 to 54 years
Margin of Error!!Male!!Total population!!AGE!!50 to 54 years
Estimate!!Male!!Total population!!AGE!!55 to 59 years
Margin of Error!!Male!!Total population!!AGE!!55 to 59 years
Estimate!!Male!!Total population!!AGE!!60 to 64 years
Margin of Error!!Male!!Total population!!AGE!!60 to 64 years
Estimate!!Male!!Total population!!AGE!!65 to 69 years
Margin of Error!!Male!!Total population!!AGE!!65 to 69 years
Estimate!!Male!!Total population!!AGE!!70 to 74 years
Margin of Error!!Male!!Total population!!AGE!!70 to 74 years
Estimate!!Male!!Total population!!AGE!!75 to 79 years
Margin of Error!!Male!!Total population!!AGE!!75 to 79 years
Estimate!!Male!!Total population!!AGE!!80 to 84 years
Margin of Error!!Male!!Total population!!AGE!!80 to 84 years
Estimate!!Male!!Total population!!AGE!!85 years and over
Margin of Error!!Male!!Total population!!AGE!!85 years and over
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Margin of Error!!Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Median age (years)
Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Median age (years)
Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Margin of Error!!Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Estimate!!Male!!Total population!!PERCENT ALLOCATED!!Sex
Margin of Error!!Male!!Total population!!PERCENT ALLOCATED!!Sex
Estimate!!Male!!Total population!!PERCENT ALLOCATED!!Age
Margin of Error!!Male!!Total population!!PERCENT ALLOCATED!!Age
Estimate!!Percent Male!!Total population
Margin of Error!!Percent Male!!Total population
Estimate!!Percent Male!!Total population!!AGE!!Under 5 years
Margin of Error!!Percent Male!!Total population!!AGE!!Under 5 years
Estimate!!Percent Male!!Total population!!AGE!!5 to 9 years
Margin of Error!!Percent Male!!Total population!!AGE!!5 to 9 years
Estimate!!Percent Male!!Total population!!AGE!!10 to 14 years
Margin of Error!!Percent Male!!Total population!!AGE!!10 to 14 years
Estimate!!Percent Male!!Total population!!AGE!!15 to 19 years
Margin of Error!!Percent Male!!Total population!!AGE!!15 to 19 years
Estimate!!Percent Male!!Total population!!AGE!!20 to 24 years
Margin of Error!!Percent Male!!Total population!!AGE!!20 to 24 years
Estimate!!Percent Male!!Total population!!AGE!!25 to 29 years
Margin of Error!!Percent Male!!Total population!!AGE!!25 to 29 years
Estimate!!Percent Male!!Total population!!AGE!!30 to 34 years
Margin of Error!!Percent Male!!Total population!!AGE!!30 to 34 years
Estimate!!Percent Male!!Total population!!AGE!!35 to 39 years
Margin of Error!!Percent Male!!Total population!!AGE!!35 to 39 years
Estimate!!Percent Male!!Total population!!AGE!!40 to 44 years
Margin of Error!!Percent Male!!Total population!!AGE!!40 to 44 years
Estimate!!Percent Male!!Total population!!AGE!!45 to 49 years
Margin of Error!!Percent Male!!Total population!!AGE!!45 to 49 years
Estimate!!Percent Male!!Total population!!AGE!!50 to 54 years
Margin of Error!!Percent Male!!Total population!!AGE!!50 to 54 years
Estimate!!Percent Male!!Total population!!AGE!!55 to 59 years
Margin of Error!!Percent Male!!Total population!!AGE!!55 to 59 years
Estimate!!Percent Male!!Total population!!AGE!!60 to 64 years
Margin of Error!!Percent Male!!Total population!!AGE!!60 to 64 years
Estimate!!Percent Male!!Total population!!AGE!!65 to 69 years
Margin of Error!!Percent Male!!Total population!!AGE!!65 to 69 years
Estimate!!Percent Male!!Total population!!AGE!!70 to 74 years
Margin of Error!!Percent Male!!Total population!!AGE!!70 to 74 years
Estimate!!Percent Male!!Total population!!AGE!!75 to 79 years
Margin of Error!!Percent Male!!Total population!!AGE!!75 to 79 years
Estimate!!Percent Male!!Total population!!AGE!!80 to 84 years
Margin of Error!!Percent Male!!Total population!!AGE!!80 to 84 years
Estimate!!Percent Male!!Total population!!AGE!!85 years and over
Margin of Error!!Percent Male!!Total population!!AGE!!85 years and over
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Margin of Error!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Median age (years)
Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Median age (years)
Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Estimate!!Percent Male!!Total population!!PERCENT ALLOCATED!!Sex
Margin of Error!!Percent Male!!Total population!!PERCENT ALLOCATED!!Sex
Estimate!!Percent Male!!Total population!!PERCENT ALLOCATED!!Age
Margin of Error!!Percent Male!!Total population!!PERCENT ALLOCATED!!Age
Estimate!!Female!!Total population
Margin of Error!!Female!!Total population
Estimate!!Female!!Total population!!AGE!!Under 5 years
Margin of Error!!Female!!Total population!!AGE!!Under 5 years
Estimate!!Female!!Total population!!AGE!!5 to 9 years
Margin of Error!!Female!!Total population!!AGE!!5 to 9 years
Estimate!!Female!!Total population!!AGE!!10 to 14 years
Margin of Error!!Female!!Total population!!AGE!!10 to 14 years
Estimate!!Female!!Total population!!AGE!!15 to 19 years
Margin of Error!!Female!!Total population!!AGE!!15 to 19 years
Estimate!!Female!!Total population!!AGE!!20 to 24 years
Margin of Error!!Female!!Total population!!AGE!!20 to 24 years
Estimate!!Female!!Total population!!AGE!!25 to 29 years
Margin of Error!!Female!!Total population!!AGE!!25 to 29 years
Estimate!!Female!!Total population!!AGE!!30 to 34 years
Margin of Error!!Female!!Total population!!AGE!!30 to 34 years
Estimate!!Female!!Total population!!AGE!!35 to 39 years
Margin of Error!!Female!!Total population!!AGE!!35 to 39 years
Estimate!!Female!!Total population!!AGE!!40 to 44 years
Margin of Error!!Female!!Total population!!AGE!!40 to 44 years
Estimate!!Female!!Total population!!AGE!!45 to 49 years
Margin of Error!!Female!!Total population!!AGE!!45 to 49 years
Estimate!!Female!!Total population!!AGE!!50 to 54 years
Margin of Error!!Female!!Total population!!AGE!!50 to 54 years
Estimate!!Female!!Total population!!AGE!!55 to 59 years
Margin of Error!!Female!!Total population!!AGE!!55 to 59 years
Estimate!!Female!!Total population!!AGE!!60 to 64 years
Margin of Error!!Female!!Total population!!AGE!!60 to 64 years
Estimate!!Female!!Total population!!AGE!!65 to 69 years
Margin of Error!!Female!!Total population!!AGE!!65 to 69 years
Estimate!!Female!!Total population!!AGE!!70 to 74 years
Margin of Error!!Female!!Total population!!AGE!!70 to 74 years
Estimate!!Female!!Total population!!AGE!!75 to 79 years
Margin of Error!!Female!!Total population!!AGE!!75 to 79 years
Estimate!!Female!!Total population!!AGE!!80 to 84 years
Margin of Error!!Female!!Total population!!AGE!!80 to 84 years
Estimate!!Female!!Total population!!AGE!!85 years and over
Margin of Error!!Female!!Total population!!AGE!!85 years and over
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over
Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Median age (years)
Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Median age (years)
Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio
Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio
Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio
Estimate!!Female!!Total population!!PERCENT ALLOCATED!!Sex
Margin of Error!!Female!!Total population!!PERCENT ALLOCATED!!Sex
Estimate!!Female!!Total population!!PERCENT ALLOCATED!!Age
Margin of Error!!Female!!Total population!!PERCENT ALLOCATED!!Age
Estimate!!Percent Female!!Total population
Margin of Error!!Percent Female!!Total population
Estimate!!Percent Female!!Total population!!AGE!!Under 5 years
Margin of Error!!Percent Female!!Total population!!AGE!!Under 5 years
Estimate!!Percent Female!!Total population!!AGE!!5 to 9 years
Margin of Error!!Percent Female!!Total population!!AGE!!5 to 9 years
Estimate!!Percent Female!!Total population!!AGE!!10 to 14 years
Margin of Error!!Percent Female!!Total population!!AGE!!10 to 14 years
Estimate!!Percent Female!!Total population!!AGE!!15 to 19 years
Margin of Error!!Percent Female!!Total population!!AGE!!15 to 19 years
Estimate!!Percent Female!!Total population!!AGE!!20 to 24 years
Margin of Error!!Percent Female!!Total population!!AGE!!20 to 24 years
Estimate!!Percent Female!!Total population!!AGE!!25 to 29 years
Margin of Error!!Percent Female!!Total population!!AGE!!25 to 29 years
Estimate!!Percent Female!!Total population!!AGE!!30 to 34 years
Margin of Error!!Percent Female!!Total population!!AGE!!30 to 34 years
Estimate!!Percent Female!!Total population!!AGE!!35 to 39 years
Margin of Error!!Percent Female!!Total population!!AGE!!35 to 39 years
Estimate!!Percent Female!!Total population!!AGE!!40 to 44 years
Margin of Error!!Percent Female!!Total population!!AGE!!40 to 44 years
Estimate!!Percent Female!!Total population!!AGE!!45 to 49 years
Margin of Error!!Percent Female!!Total population!!AGE!!45 to 49 years
Estimate!!Percent Female!!Total population!!AGE!!50 to 54 years
Margin of Error!!Percent Female!!Total population!!AGE!!50 to 54 years
Estimate!!Percent Female!!Total population!!AGE!!55 to 59 years
Margin of Error!!Percent Female!!Total population!!AGE!!55 to 59 years
Estimate!!Percent Female!!Total population!!AGE!!60 to 64 years
Margin of Error!!Percent Female!!Total population!!AGE!!60 to 64 years
